Root	Gender	Sg/Neart	Sg/Art	Pl/Neart	Pl/Art	Pl2/Neart	Pl2/Art
uț	Masc/Neut	uț	uțul	uți	uții	uțe	uțele
uleț	Masc/Neut	uleț	ulețul	uleți	uțeții	ulețe	ulețele
ior	Masc/Neut	ior	iorul	iori	iorii	ioare	ioarele
ioară	Fem	ioară	ioara	ioare	ioarele
ișor	Masc/Neut	ișor	ișorul	ișoruli	ișoruliii	ișoare	ișoarele
ișoară	Fem	ișoară	ișoara	ișoare	ișoarele
ușor	Masc/Neut	ușor	ușorul	ușori	ușorii	ușoare	ușoarele
ușoară	Fem	ușoară	ușoara	ușoare	ușoarele
ic	Masc/Neut	ic	icul	ici	icii	ice	icele
icel	Masc/Neut	icel	icelul	iceli	icelii	icele	icelele
ică	Fem	ică	ica	ice	icele
icică	Fem	icică	icica	icice	icicele
ulică	Fem	ulică	ulica	ulice	ulicele
uc	Masc/Neut	uc	ucul	uci	ucii	uce	ucele
iță	Fem	iță	ița	ițe	ițele
uliță	Fem	uliță	ulița	ulițe	ulițele
ache	Masc/Neut	ache	achele	achi	achii
ușcă	Fem	ușcă	ușca	uște	uștele
ișcă	Fem	ișcă	ișca	iște	iștele
uș	Masc/Neut	uș	ușul	uși	ușii	ușe	ușele
ușă	Fem	ușă	ușa	ușe	ușele
uică	Fem	uică	uica	uici	uicile
et	Masc/Neut	et	etul	eți	eții	ete	etele
ete	Masc/Neut	ete	etele	eți	eții
oc	Masc/Neut	oc	ocul	oci	ocii	oace	oacele
